Node,Code,Fraction,Coal,Gas,Oil,Hydro,Geothermal,Biomass,Waste
Australia-WA,AW,1,0,0,0,0,0,0,0
Australia-NT,AN,1,0,0,0,0,0,0,0
Brunei,BN,1,0,586,0,0,0,0,0
Cambodia,KH,1,505,0,54,909,0,2,25
China,CN,1,0,0,0,0,0,0,0
India,IN,1,0,0,0,0,0,0,0
Indonesia-Java,IJ,0.73,21413.09,9351.3,516.11,3328.8,979.66,0,0
Indonesia-Kalimantan,IK,0.04,1173.32,512.4,28.28,182.4,53.68,0,0
Indonesia-Maluku,IM,0.007,205.331,89.67,4.949,31.92,9.394,0,0
Indonesia-Papua,IP,0.006,175.998,76.86,4.242,27.36,8.052,0,0
Indonesia-Sulawesi,IC,0.04,1173.32,512.4,28.28,182.4,53.68,0,0
Indonesia-Sumatera,IS,0.16,4693.28,2049.6,113.12,729.6,214.72,0,0
Indonesia-Timor,IT,0.02312,678.17896,296.1672,16.34584,105.4272,31.02704,0,0
Laos,LA,1,1878,0,0,3109,0,0,0
Malaysia,MY,1,13004,13330,178,1989,0,12,0
Myanmar,MM,1,165,1047,0,2725,0,0,0
Philippines-Luzon,PL,0.737,6434.747,2513.907,1515.272,2506.537,1361.976,16.951,0
Philippines-Mindanao,PM,0.121,1056.451,412.731,248.776,411.521,223.608,2.783,0
Philippines-Visayas,PV,0.142,1239.802,484.362,291.952,482.942,262.416,3.266,0
Singapore,SG,1,0,9552,3950,0,0,0,158
Thailand,TH,1,5260,28959,0,3788,0,89,0
Vietnam-Hanoi,VH,0.5,7062.5,3867,457.5,8375,0,11,0
Vietnam-HCMC,VS,0.5,7062.5,3867,457.5,8375,0,11,0
