Demand [MWh/capita/year],intraday,overnight,monthly,seasonal,longterm
5,62.1060068626256,192.287200273555,0,24.4273990256209,30.3293938381986
6,74.728710838479,232.148054559765,0,30.5273112830967,36.0009233186592
7,90.9615076397582,269.771216594227,0,34.7558347844361,42.1694409815786
8,104.881694524737,307.393845626516,0,38.5903713127665,51.0500885359804
9,128.164379617361,385.338160235901,0,117.950782878604,162.786677268135
10,150.479194682391,447.984206253368,0,275.600221118643,332.122377945599
11,163.928318433386,499.565420314315,0,454.609488952767,513.517772299532
12,180.669820686271,552.553973706967,0,641.316414987283,682.377790619479
13,205.289526825843,635.726220985949,0,777.443658108905,837.533594079303
14,222.42764890337,689.763994083021,0,1046.75112701091,1061.0382300027
15,242.066596606017,745.520236900333,0,1272.87537256924,1313.77279392441
16,260.099651185578,801.27257404114,0,1498.68936797046,1566.27840680282
17,277.088757641436,853.86261542478,0,1746.16415060574,1819.64047632805
18,293.416137653624,905.816271769297,0,2012.22643403678,2058.4961565403
19,311.119906124552,960.762330023124,0,2243.87590756558,2312.82785628675
20,329.728627723849,1022.90869514732,0,2401.91000835877,2558.94666877006
21,346.540211585844,1075.96621897676,0,2663.87003745563,2819.51953198177
22,363.184208747022,1131.76277220199,0,2908.21557154732,3046.70344750367
23,381.492877053164,1195.24383673628,0,3206.07963091613,3109.80365529443
24,401.483114467564,1257.87993778864,0,3434.55729146022,3243.46665628358
25,407.308912336872,1318.21116876336,0,3454.33674463174,3602.24017426803
