,intraday,overnight,monthly,seasonal,longterm
0,0j,0j,0j,0j,0j
1,0j,0j,0j,0j,0j
2,0j,0j,0j,0j,(8178328.588269092+6053615.8228659695j)
3,0j,0j,0j,0j,(10800569.633109413+11140722.938013315j)
4,0j,0j,0j,0j,(-2608942.679590511+5910238.968194935j)
5,0j,0j,0j,0j,(2684116.787613669-3774321.48215387j)
6,0j,0j,0j,0j,(1694121.125501646+2127360.612927974j)
7,0j,0j,0j,0j,(-407861.9640474605-773677.3102571038j)
8,0j,0j,0j,0j,(3777319.977637003-5639500.278326016j)
9,0j,0j,0j,0j,(703031.6974800959-6191533.614880836j)
10,0j,0j,0j,0j,(-6113646.156635883-24983904.7060956j)
11,0j,0j,0j,(3935441.897086885+6216631.262881337j),0j
12,0j,0j,0j,(3161427.5504691405-1386470.36619432j),0j
13,0j,0j,0j,(3260867.5781164616+5847540.633617531j),0j
14,0j,0j,0j,(-3480097.6896673506+3616515.1713004545j),0j
15,0j,0j,0j,(1998821.2227308664-4929567.463347945j),0j
16,0j,0j,0j,(-5884898.45193097-3947399.9585691243j),0j
17,0j,0j,0j,(1590646.523199254-3079638.9170134272j),0j
18,0j,0j,0j,(-1828281.4170990484-2864474.821707811j),0j
19,0j,0j,0j,(-6983834.891587214+1974156.2373886758j),0j
20,0j,0j,0j,(-13466969.697582398-14252278.963423958j),0j
21,0j,0j,0j,(2489038.7077657515+1174814.0309370365j),0j
22,0j,0j,0j,(-1542854.7421490755-4580047.18009492j),0j
23,0j,0j,0j,(425641.00277770567+4345645.634972595j),0j
24,0j,0j,0j,(2712161.3436359004+1286926.1824017037j),0j
25,0j,0j,0j,(1041948.752431732-2348847.2399139395j),0j
26,0j,0j,0j,(-6307503.82856595-2845866.3297883184j),0j
27,0j,0j,0j,(7668772.771926765-4328810.910499718j),0j
28,0j,0j,0j,(-2787859.8531628735+1618850.2368485462j),0j
29,0j,0j,0j,(6104066.259563966-1395010.6398880896j),0j
30,0j,0j,0j,(-6868378.9657508135-1604782.7225505451j),0j
31,0j,0j,0j,(-2347667.2365280427+792436.4635002313j),0j
32,0j,0j,0j,(-270555.13877144095+646942.4221741884j),0j
33,0j,0j,0j,(1966071.8777475404+1830581.2139159837j),0j
34,0j,0j,0j,(3159480.882828992-1838340.3861152031j),0j
35,0j,0j,0j,(-2007421.0988245518-606538.4118015867j),0j
36,0j,0j,0j,(-1859158.783132535-3997214.518784908j),0j
37,0j,0j,0j,(-305457.17145881895+2467886.668289655j),0j
38,0j,0j,0j,(847530.4961270549-1129745.0645726332j),0j
39,0j,0j,0j,(-984363.5836431476-1726516.803391819j),0j
40,0j,0j,0j,(-2359498.4513825476-2394997.8847943097j),0j
41,0j,0j,0j,(-3338788.859967626+2618310.809592717j),0j
42,0j,0j,0j,(-5245576.81579374+1811183.961172926j),0j
43,0j,0j,0j,(5978961.075404275+4899074.418251531j),0j
